,close
2018/12/19,3.3412
2018/12/20,3.3003
2018/12/21,3.3168
2018/12/24,3.3483
2018/12/25,3.3113
2018/12/26,3.3011
2018/12/27,3.2709
2018/12/28,3.2315
2018/12/29,3.2265
2018/12/30,3.2265
2018/12/31,3.2265
2019/1/2,3.1734
2019/1/3,3.141
2019/1/4,3.1513
2019/1/7,3.1507
2019/1/8,3.1211
2019/1/9,3.1106
2019/1/10,3.1006
2019/1/11,3.1058
2019/1/14,3.1297
2019/1/15,3.1383
2019/1/16,3.0745
2019/1/17,3.076
2019/1/18,3.091
2019/1/21,3.1037
2019/1/22,3.1071
2019/1/23,3.119
2019/1/24,3.1338
2019/1/25,3.1398
2019/1/28,3.1397
2019/1/29,3.1246
2019/1/30,3.1151
2019/1/31,3.1037
2019/2/1,3.1032
2019/2/2,3.0978
2019/2/3,3.0967
2019/2/11,3.067
2019/2/12,3.0748
2019/2/13,3.0719
2019/2/14,3.0726
2019/2/15,3.0794
2019/2/18,3.1094
2019/2/19,3.1279
2019/2/20,3.1196
2019/2/21,3.1361
2019/2/22,3.1451
2019/2/25,3.1787
2019/2/26,3.1878
2019/2/27,3.1689
2019/2/28,3.1731
2019/3/1,3.187
2019/3/4,3.2023
2019/3/5,3.2149
2019/3/6,3.2021
2019/3/7,3.1572
2019/3/8,3.1423
2019/3/11,3.1374
2019/3/12,3.1424
2019/3/13,3.1375
2019/3/14,3.1475
2019/3/15,3.1376
2019/3/18,3.1377
2019/3/19,3.1377
2019/3/20,3.1453
2019/3/21,3.1291
2019/3/22,3.108
2019/3/25,3.0831
2019/3/26,3.0633
2019/3/27,3.0882
2019/3/28,3.0634
2019/3/29,3.0683
2019/4/1,3.1332
2019/4/2,3.1681
2019/4/3,3.2331
2019/4/4,3.2679
2019/4/8,3.2482
2019/4/9,3.2882
2019/4/10,3.2932
2019/4/11,3.2784
2019/4/12,3.3334
2019/4/15,3.3736
2019/4/16,3.3937
2019/4/17,3.3938
2019/4/18,3.3589
2019/4/19,3.3741
2019/4/22,3.4091
2019/4/23,3.3993
2019/4/24,3.4343
2019/4/25,3.4193
2019/4/26,3.4043
2019/4/28,3.4043
2019/4/29,3.4268
2019/4/30,3.3869
2019/5/5,3.3849
2019/5/6,3.355
2019/5/7,3.3551
2019/5/8,3.3426
2019/5/9,3.3116
2019/5/10,3.3017
2019/5/13,3.2709
2019/5/14,3.2859
2019/5/15,3.2762
2019/5/16,3.2662
2019/5/17,3.2665
2019/5/20,3.2717
2019/5/21,3.299
2019/5/22,3.3264
2019/5/23,3.31
2019/5/24,3.3125
2019/5/27,3.35
2019/5/28,3.31
2019/5/29,3.2875
2019/5/30,3.275
2019/5/31,3.2751
2019/6/3,3.2401
