,Growth,Inflation,Rate,Credit,ExRate
2021-08-06,27.068664685211402,16.150986838052244,4.8342356921297736,-1.8565361611601716,-7.634476129692058
2021-08-09,26.82602866338395,14.074357205987864,4.753121926627646,-1.8478235845540814,-6.85115712265203
2021-08-10,27.68361172088506,15.56265648466027,4.786251191918822,-1.7852357783296358,-6.804859309538025
2021-08-11,28.052534509476494,17.67007561570388,4.5325717090082485,-1.805909917780113,-7.168445859542771
2021-08-12,27.779960950073573,17.381982944987858,4.6056221638361095,-1.7220856898176484,-7.376264980622449
2021-08-13,27.66492930235303,16.45162036634737,4.576300480710582,-1.6313590099983177,-7.1431291822730225
2021-08-16,27.10895867805761,15.969962947406097,4.47490138464941,-1.704457537819598,-7.0280729512623985
2021-08-17,26.332734691368824,15.43761202205529,4.398859658683296,-1.739452135233105,-6.919357704485329
2021-08-18,25.771156142194513,13.146744936335985,4.520974332804517,-1.6221478857897764,-6.626044530778441
2021-08-19,24.12932244071559,9.81058678449475,4.7190270179876315,-1.4987388827926051,-6.668242120798973
2021-08-20,22.55725105509756,9.584098848010324,4.845532355854587,-1.4091732421980974,-6.2397242176623235
2021-08-23,23.353634384412768,13.013542665383266,4.915173328884315,-1.3717834120528904,-6.415942236818073
2021-08-24,24.479135424285342,14.254224595273785,4.814568941173469,-1.4412630206552535,-6.427326722774063
2021-08-25,24.392245560358354,14.82521085145468,4.921064370446526,-1.3434831964584448,-6.672027915665968
2021-08-26,23.79385596983988,13.621772831104545,4.995234630798517,-1.2440692431427536,-6.65303951457954
2021-08-27,23.680079082855237,15.249355872813325,5.092371122009531,-1.2142921055569023,-6.29734239252866
2021-08-30,24.289989369045422,16.71381827222507,5.254148413173265,-1.2175433839906102,-6.329406699203166
2021-08-31,24.230606476339023,17.120562033187664,5.378189133465661,-1.1819908554992598,-6.308897153501358
2021-09-01,23.949905666909544,14.99652687763694,5.259926773094481,-1.2504883986200366,-5.891338366423238
2021-09-02,23.553933964791828,15.618930933215157,5.382626455976336,-1.1720653256996227,-5.868302054359953
2021-09-03,23.514214836520676,17.09369073476532,5.591998135626142,-0.9955049261616,-5.716357562313834
2021-09-06,24.407072432859323,16.766178752838602,5.649520121773932,-0.9549379865140206,-5.707317721139327
2021-09-07,23.97381612204249,18.65568504052661,5.627359403846466,-0.9862219436917175,-5.759650883094003
2021-09-08,23.516243179579465,18.45490310330114,5.7159946118709115,-0.9960429599826959,-5.580885928891055
2021-09-09,22.90709497039074,20.86986606771714,5.611730648221069,-1.0306128136821857,-5.639978830910408
2021-09-10,24.028979216548983,22.469328958334117,5.4002707426635155,-1.2000702820229359,-5.802106897031689
2021-09-13,24.179886949310415,23.484814854490764,5.333125106773906,-1.3646223351925446,-5.774483245371509
2021-09-14,22.81872903705404,23.102706195837047,5.421698299909927,-1.336786936720602,-5.854676918061186
2021-09-15,21.424772178787556,22.48097803093792,5.475305111966655,-1.2431113371405011,-5.826130147658515
2021-09-16,20.827709550224817,23.629961910160773,5.304269962479857,-1.422587879061571,-5.8741008053718735
2021-09-17,21.053440922396593,22.468126624872138,5.410233658956098,-1.3930712919298038,-4.984711768258987
2021-09-22,21.186794878548543,22.482240097963857,5.574852627924187,-1.307749289377702,-4.506383150043591
2021-09-23,19.626162928463497,23.50870064216273,5.6071343377698035,-1.3705296414847412,-4.295658164590432
2021-09-24,20.14550616922198,23.940301337774805,5.451662341906438,-1.4162099362386882,-4.5335085023788135
2021-09-27,20.904593756255608,24.44318811472477,5.350541379453677,-1.4364844976982871,-4.793965961435576
2021-09-28,21.747251640331534,25.372422075514184,5.326931200634988,-1.4259905376364623,-5.0963559496057576
2021-09-29,22.76562420820771,25.07534749901091,5.366474573104885,-1.3309273605623173,-5.074568228741749
2021-09-30,22.378883590622817,25.361900914886853,5.539207943698177,-1.179374081042306,-4.91469460011289
2021-10-08,22.40418380723487,27.022406910721173,5.392773195556533,-1.2519881945114109,-5.49304092887517
2021-10-11,24.511777938478524,28.378942867078884,5.243273208606958,-1.2798681180574867,-5.567966508318323
2021-10-12,23.539513192613416,26.370645501624875,5.303422039150707,-1.1566920643089507,-5.514871674505173
2021-10-13,22.10943330843288,23.085357140468172,5.480504562853117,-0.9265284302175103,-4.810304410429644
2021-10-14,22.522990593372583,24.170203766626585,5.420688315520916,-0.9855407914546976,-4.124044950861405
2021-10-15,23.713661221345482,25.53064573008451,5.361348938900967,-1.017848987758635,-4.420458134724381
2021-10-18,24.682416650944493,24.701522446673568,5.03443316766381,-1.169772003009445,-4.816788661357085
2021-10-19,25.521711037861294,26.229383812073188,5.254519721361994,-1.1093415194097511,-4.659069680347994
2021-10-20,25.03095392677822,26.1453671658843,5.357045878245259,-1.061954324252229,-4.967497895653783
2021-10-21,24.456394967718087,23.636147352029667,5.374152425498302,-1.0735861177491313,-4.767900737082753
2021-10-22,24.03679414879275,20.58072492399001,5.316463817074535,-1.0940471372465232,-4.426433871122781
2021-10-25,23.395999664851452,21.84517176493614,5.237121381142096,-1.1856894994641043,-4.372373122380502
2021-10-26,23.289826663256395,21.631151085443456,5.109410318202023,-1.319324813628725,-4.088084393900893
2021-10-27,22.360466383543876,20.828035285300654,5.226653501820611,-1.3195538828808695,-4.361938111498631
2021-10-28,22.399977190188057,20.364706621648544,5.292477166748366,-1.3293028370444548,-4.2368712740073144
2021-10-29,22.33737165852736,21.201827138158137,5.168869564175793,-1.489150372493292,-4.709952525799377
2021-11-01,22.406525163283376,20.77351195632868,5.419945596615072,-1.4405699014861773,-4.572024765955707
2021-11-02,22.592601116734613,18.999883087783534,5.540398228823751,-1.4089472586044816,-4.954200783922014
2021-11-03,23.470272447383557,17.107611473552417,5.49267503242552,-1.4512499661364808,-4.803262751738657
2021-11-04,23.01035594137182,14.646176321996348,5.477102434889147,-1.4746706472277271,-4.744654821010341
2021-11-05,21.568052494245336,14.022459856221698,5.650140961568262,-1.4413543906414028,-4.548008778878598
2021-11-08,21.416577635580058,14.61489145047099,5.5961099083650545,-1.4022837050047643,-4.302660147181148
2021-11-09,21.03165562254835,15.42061203443712,5.644088164341454,-1.3704201282495665,-4.575791728732548
2021-11-10,21.10786415078678,12.828554611614473,5.744267759787114,-1.286582311788087,-3.596880315065465
2021-11-11,20.885519044571232,13.276818326960676,5.733025335471265,-1.2652916211200793,-3.037049827305638
2021-11-12,20.95105440808409,12.300501574766331,5.713035779087416,-1.3363123104802699,-2.819472399020939
2021-11-15,21.02118728720155,10.3886145969044,5.816832683645234,-1.3667883495964595,-3.3458024426706645
2021-11-16,21.636621303520474,10.412467944090103,5.918078909996893,-1.362027431395385,-3.552924405737534
2021-11-17,21.18900175185606,10.321928707746581,5.991369751969966,-1.4741673131227762,-3.609668498768137
2021-11-18,19.04117067813733,10.229949620177504,6.025105720370405,-1.514489318043949,-3.458153923022178
2021-11-19,19.46923013220242,8.914660595458667,6.0354124078783045,-1.5315437376608954,-2.989720078319613
2021-11-22,18.973773201493003,10.360908044559586,6.287870263750417,-1.4773323566790286,-2.5336180970371824
2021-11-23,18.98927968481139,11.274466555620377,6.413194422539181,-1.4009960211201655,-2.4032745444355186
2021-11-24,18.331802487344174,11.45941208366033,6.475095965767075,-1.5115522926347436,-2.9040741097680067
2021-11-25,18.527229869278848,11.884030250104688,6.294166381833222,-1.6348244039224025,-2.6817542463762
