,000852.SH,000905.SH,000300.SH,NH0100.NHF,Bond
2012-06-29,3610.25,3470.965,2461.612,1310.632,3.3253
2012-07-02,3659.612,3509.503,2465.238,1315.4025,3.3353
2012-07-03,3672.966,3515.778,2468.721,1331.5124,3.3204
2012-07-04,3659.605,3497.748,2464.919,1334.8432,3.3195
2012-07-05,3572.745,3418.202,2430.37,1341.9419,3.3193
2012-07-06,3645.546,3486.546,2472.614,1336.1701,3.296
2012-07-09,3553.28,3398.805,2416.036,1337.9681,3.2709
2012-07-10,3512.122,3365.665,2406.706,1329.7559,3.2549
2012-07-11,3544.09,3404.104,2425.572,1327.2612,3.2398
2012-07-12,3596.42,3450.302,2449.181,1324.5703,3.2502
2012-07-13,3570.765,3435.084,2450.633,1337.516,3.2591
2012-07-16,3416.2,3311.089,2399.731,1346.2683,3.2752
2012-07-17,3445.553,3334.286,2414.201,1333.9112,3.285
2012-07-18,3476.416,3352.848,2414.335,1329.8032,3.2858
2012-07-19,3525.84,3392.656,2424.322,1336.1875,3.286
2012-07-20,3510.48,3369.913,2398.455,1327.9032,3.281
2012-07-23,3477.062,3337.856,2365.431,1303.3188,3.276
2012-07-24,3507.029,3361.09,2375.992,1295.5595,3.2759
2012-07-25,3482.59,3332.085,2360.083,1285.6173,3.276
2012-07-26,3444.937,3302.336,2347.488,1289.572,3.2763
2012-07-27,3420.614,3283.592,2349.108,1302.0813,3.2764
2012-07-30,3335.241,3217.452,2335.793,1301.4905,3.2755
2012-07-31,3272.056,3159.192,2332.922,1307.8193,3.2915
2012-08-01,3333.011,3216.184,2358.651,1303.9036,3.2921
2012-08-02,3314.228,3195.863,2334.882,1298.1393,3.2861
2012-08-03,3393.94,3259.856,2353.737,1295.1509,3.2902
2012-08-06,3484.002,3337.267,2385.611,1302.0179,3.31
2012-08-07,3524.754,3368.252,2388.873,1306.9003,3.33
2012-08-08,3515.607,3356.485,2389.795,1298.1506,3.3545
2012-08-09,3565.896,3405.058,2411.7,1311.327,3.3023
2012-08-10,3562.507,3395.849,2399.751,1307.0753,3.2825
2012-08-13,3489.253,3318.1,2351.931,1298.0889,3.3029
2012-08-14,3526.634,3349.585,2357.016,1295.768,3.3105
2012-08-15,3490.392,3310.839,2331.615,1301.8224,3.3402
2012-08-16,3462.815,3286.828,2319.67,1298.1969,3.3467
2012-08-17,3465.931,3286.778,2313.476,1302.0074,3.3342
2012-08-20,3487.599,3289.439,2301.788,1299.5333,3.3564
2012-08-21,3549.838,3335.753,2313.703,1306.3116,3.3578
2012-08-22,3528.2,3306.111,2295.586,1306.7278,3.3935
2012-08-23,3556.22,3327.99,2302.199,1313.3988,3.3702
2012-08-24,3475.556,3265.749,2275.677,1309.5388,3.3364
2012-08-27,3394.922,3184.331,2228.204,1319.9066,3.3498
2012-08-28,3420.871,3200.993,2238.411,1307.5642,3.3634
2012-08-29,3408.171,3179.54,2214.814,1303.0669,3.3943
2012-08-30,3340.95,3129.495,2211.37,1310.1005,3.3904
2012-08-31,3354.8,3139.5,2204.868,1302.9685,3.3928
2012-09-03,3417.636,3200.306,2228.369,1315.5726,3.4001
2012-09-04,3390.987,3164.826,2204.407,1309.1025,3.3836
2012-09-05,3419.603,3181.8,2199.875,1300.0404,3.3887
2012-09-06,3458.193,3217.936,2217.823,1305.4085,3.3963
2012-09-07,3569.983,3334.66,2317.179,1313.5212,3.4162
2012-09-10,3608.761,3363.605,2326.666,1340.8659,3.4611
2012-09-11,3602.089,3350.088,2311.89,1340.0456,3.4714
2012-09-12,3628.534,3376.122,2320.071,1344.7165,3.4909
2012-09-13,3567.508,3329.299,2298.461,1337.9885,3.4834
2012-09-14,3568.222,3338.038,2315.542,1372.0684,3.5485
2012-09-17,3462.533,3237.704,2258.705,1363.4505,3.5717
